date,local_team,local_team_points,visit_team,visit_team_points,player_team,player_name,player_total_points,time,one_point_shots_get,one_point_shots_made,two_point_shots_get,two_point_shots_made,three_point_shots_get,three_point_shots_made,rebouts,assists,faults,received_faults
30/09/2016,Real Madrid,101,Unicaja,90,local,Anthony Erwin Randolph,2,18:05,1,6,0,1,0,0,7,0,1,3
30/09/2016,Real Madrid,101,Unicaja,90,local,Dontaye Dominic Draper ,5,12:34,0,0,1,1,2,4,1,1,3,2
30/09/2016,Real Madrid,101,Unicaja,90,local,Rodolfo Fernández Farrés,5,15:13,1,2,1,5,0,0,1,4,1,2
30/09/2016,Real Madrid,101,Unicaja,90,local,Andrés Marcelo Nocioni,3,03:38,0,0,1,1,0,0,0,0,0,0
30/09/2016,Real Madrid,101,Unicaja,90,local,Luka Doncic,6,18:56,1,1,1,1,1,2,2,4,3,2
30/09/2016,Real Madrid,101,Unicaja,90,local,Jonas Maciulis ,6,16:40,2,4,0,1,2,2,2,1,2,1
30/09/2016,Real Madrid,101,Unicaja,90,local,Felipe Reyes Cabanas,13,18:17,3,4,0,0,7,7,3,0,2,6
30/09/2016,Real Madrid,101,Unicaja,90,local,Gustavo Alfonso Ayón Aguirre,16,19:35,8,10,0,0,0,0,6,0,1,1
30/09/2016,Real Madrid,101,Unicaja,90,local,Jaycee Don Jerry Dean Carroll ,14,20:10,2,4,2,5,4,5,1,2,2,2
30/09/2016,Real Madrid,101,Unicaja,90,local,Tegba Othello Hunter Jr ,12,20:04,5,6,0,1,2,2,3,0,1,1
30/09/2016,Real Madrid,101,Unicaja,90,local,Sergio Llull Meliá,14,24:04,6,9,0,3,2,4,4,9,0,2
30/09/2016,Real Madrid,101,Unicaja,90,local,Jeffery Matthew Taylor ,5,12:44,1,1,1,2,0,0,3,1,1,0
30/09/2016,Real Madrid,101,Unicaja,90,visit,Viny-Pierrot Marcel Okouo ,0,05:50,0,0,0,0,0,2,0,0,1,1
30/09/2016,Real Madrid,101,Unicaja,90,visit,Kyle Edward Fogg ,6,13:29,2,5,0,2,2,3,0,1,2,3
30/09/2016,Real Madrid,101,Unicaja,90,visit,Alberto Díaz Ortiz,6,13:26,0,1,2,2,0,0,4,3,3,1
30/09/2016,Real Madrid,101,Unicaja,90,visit,Daniel Díez De La Faya,11,15:12,1,2,3,4,0,0,4,0,0,1
30/09/2016,Real Madrid,101,Unicaja,90,visit,Juan José García Rodríguez,0,00:21,0,1,0,0,0,0,0,0,1,0
30/09/2016,Real Madrid,101,Unicaja,90,visit,Jamar Desean Smith ,6,25:11,2,8,0,2,2,2,0,1,4,2
30/09/2016,Real Madrid,101,Unicaja,90,visit,Nemanja Nedovic ,13,32:13,5,8,1,4,0,0,2,5,1,1
30/09/2016,Real Madrid,101,Unicaja,90,visit,Oliver Lafayette ,5,12:49,1,2,1,2,0,0,3,3,0,2
30/09/2016,Real Madrid,101,Unicaja,90,visit,Adam Szczepan Waczynski ,5,17:07,1,1,1,3,0,0,1,1,2,1
30/09/2016,Real Madrid,101,Unicaja,90,visit,Jeffrey Dean Brooks Jr ,12,13:14,3,4,2,2,0,0,5,2,5,2
30/09/2016,Real Madrid,101,Unicaja,90,visit,Carlos Suárez García-Osorio,12,28:55,2,2,2,4,2,2,7,4,2,2
30/09/2016,Real Madrid,101,Unicaja,90,visit,Dejan Musli,14,22:13,7,12,0,0,0,1,5,1,2,1
